"","X","county","latitude","longitude","year","month","pm","ozone","surface_pressure","precipitation","drought","fire_burnt_area","temperature","GDP","population","wind"
"526",526,"Los Angeles",33.8025,-118.22,2017,10,NA,58,1004.15864039873,0.140811483072434,0,0,26.965738407258,65.5619045319091,2488.59876847291,1.12332581718751
"527",527,"Los Angeles",33.8025,-118.22,2017,11,NA,43,1007.78106055346,0.112530534586045,0,0,22.6055989583333,65.5619045319091,2488.59876847291,1.13159529843082
"528",528,"Los Angeles",33.8025,-118.22,2017,12,NA,38,1010.28413038088,0.0372420636155241,0,0,21.4564138104838,65.5619045319091,2488.59876847291,0.582431406881253
"529",529,"Los Angeles",33.9014,-118.205,2017,1,NA,42,1006.83045650665,4.8392706816084,2.8,0,16.170785030242,65.5619045319091,2488.59876847291,0.391306567539448
"530",530,"Los Angeles",33.9014,-118.205,2017,2,NA,46,1005.44111213053,3.07476880104548,0.5,0,16.7481236049107,65.5619045319091,2488.59876847291,0.501626523782587
"531",531,"Los Angeles",33.9014,-118.205,2017,3,NA,63,1005.93610122,0.232151303183879,0,0,22.9140120967742,65.5619045319091,2488.59876847291,0.95246882809474
"532",532,"Los Angeles",33.9014,-118.205,2017,4,NA,72,1002.93804230311,0.0620834372860018,0,0,24.84052734375,65.5619045319091,2488.59876847291,1.65477553776525
"533",533,"Los Angeles",33.9014,-118.205,2017,5,NA,72,1001.39120139853,0.330370272927146,0,0,23.6845514112903,65.5619045319091,2488.59876847291,1.90305877866885
"534",534,"Los Angeles",33.9014,-118.205,2017,6,NA,58,1000.0637306586,0.0896000358132972,0,0,27.005859375,65.5619045319091,2488.59876847291,2.16065029488801
"535",535,"Los Angeles",33.9014,-118.205,2017,7,NA,61,1001.9536890002,0.182850730822472,0,0,29.641267641129,65.5619045319091,2488.59876847291,2.20128122178623
"536",536,"Los Angeles",33.9014,-118.205,2017,8,NA,62,1000.7724650367,0.099536585281489,0,0,29.814339717742,65.5619045319091,2488.59876847291,2.07614538743508
"537",537,"Los Angeles",33.9014,-118.205,2017,9,NA,69,1000.1312291708,0.240559152733886,0,0,28.4783203125,65.5619045319091,2488.59876847291,1.58326670778182
"538",538,"Los Angeles",33.9014,-118.205,2017,10,NA,76,1001.26745412617,0.144633232867892,0,0,28.6283518145162,65.5619045319091,2488.59876847291,0.767026946599428
"539",539,"Los Angeles",33.9014,-118.205,2017,11,NA,46,1004.83925039675,0.0953326605064846,0,0,23.77294921875,65.5619045319091,2488.59876847291,0.751798007918667
"540",540,"Los Angeles",33.9014,-118.205,2017,12,NA,40,1007.38169435628,0.0334203138200664,0,0,22.574357358871,65.5619045319091,2488.59876847291,0.633508480062298
"541",541,"Los Angeles",33.9551,-118.4305,2017,1,NA,47,1002.20118354493,5.14271761536776,2.8,0,15.8420614919355,65.5619045319091,2488.59876847291,0.552082953459895
"542",542,"Los Angeles",33.9551,-118.4305,2017,2,NA,50,1000.81183916882,3.34802391142072,0.5,0,16.4563755580357,65.5619045319091,2488.59876847291,0.0860338174807503
"543",543,"Los Angeles",33.9551,-118.4305,2017,3,NA,69,1001.39682627455,0.292534949952114,0,0,22.8270035282258,65.5619045319091,2488.59876847291,0.753579005196684
"544",544,"Los Angeles",33.9551,-118.4305,2017,4,NA,62,998.348143473517,0.0211907144746018,0,0,24.7430338541667,65.5619045319091,2488.59876847291,1.30388189330036
"545",545,"Los Angeles",33.9551,-118.4305,2017,5,NA,66,996.716929428685,0.25278875207935,0,0,23.7936428931452,65.5619045319091,2488.59876847291,1.49076384155863
"546",546,"Los Angeles",33.9551,-118.4305,2017,6,NA,60,995.462582076969,0.0154580897814144,0,0,27.3826822916667,65.5619045319091,2488.59876847291,1.66926895341922
"547",547,"Los Angeles",33.9551,-118.4305,2017,7,NA,51,997.414414054751,0.11482358446332,0,0,29.9004347278226,65.5619045319091,2488.59876847291,1.76893545306508
"548",548,"Los Angeles",33.9551,-118.4305,2017,8,NA,56,996.244439843285,0.0609369123473636,0,0,30.0742313508065,65.5619045319091,2488.59876847291,1.68619685160444
"549",549,"Los Angeles",33.9551,-118.4305,2017,9,NA,60,995.614453729419,0.117116634340594,0,0,28.5430013020834,65.5619045319091,2488.59876847291,1.26778816314552
"550",550,"Los Angeles",33.9551,-118.4305,2017,10,NA,70,996.829426949018,0.0746952116110113,0,0,28.792603326613,65.5619045319091,2488.59876847291,0.430315660332785
"551",551,"Los Angeles",33.9551,-118.4305,2017,11,NA,50,1000.33934958342,0.0846317610792031,0,0,23.8274739583333,65.5619045319091,2488.59876847291,0.634013141231552
"552",552,"Los Angeles",33.9551,-118.4305,2017,12,NA,42,1002.96054180718,0.00513936533367773,0,0,22.7432711693548,65.5619045319091,2488.59876847291,1.23979207932867
"553",553,"Los Angeles",34.0103,-118.0685,2017,1,NA,38,996.840676701051,5.98426692032759,2.6,0,15.7389553931452,65.5619045319091,2488.59876847291,0.159414714594649
"554",554,"Los Angeles",34.0103,-118.0685,2017,2,NA,44,995.468206952986,3.49439692858676,0.5,0,16.6114048549107,65.5619045319091,2488.59876847291,0.363023344306778
"555",555,"Los Angeles",34.0103,-118.0685,2017,3,NA,65,996.070068686769,0.287566675218018,0,0,23.4302356350807,65.5619045319091,2488.59876847291,0.386782346264958
"556",556,"Los Angeles",34.0103,-118.0685,2017,4,NA,82,993.004511257687,0.0655230121019128,0,0,25.63896484375,65.5619045319091,2488.59876847291,1.06736612615902
